# Goic/truck/Hindi/Actions.cfg
0x81	actions			कार्य
0xFB	Pin Retainers				पिन रिटेनर
0xFC	Grease Lines				ग्रीज लाईन
0xFD	Handrail / guard			हैंड रेल / गार्ड
0xFE	Foot rest					फ़ुट रेस्ट
0xFF	Clean Cab					केबिन सफ़ाई
0x100	Damage						डैमेज
0x101	Track Condition				ट्रैक
0x102	Main machine access			मशीन एक्सेस


# Dispatchers Message
0x103	Go to Site Office		साइट औफ़िस जायें
0x104	Go to Fuel Bunk			डीजल पम्प जायें
0x105	Go to Garage			गैरेज जायें
0x106	Call on Two way radio	वायरलेस पर बुलायें
0x107	Any problem?			कोई समस्या ?
0x108	Contact Supervisor		सुपर्वाइजर को सम्पर्क करें
0x109	Stay there				वहीं रुकें                                           
0x10A	Are you loading?		क्या लोडिंग कर रहें हैं ?
0x10B	Are you getting load?	क्या लोड ले रहे हैं ?
0x10C	Are you full?			क्या लोड पूरा हो गया ? 
0x10D	Are you empty?			क्य डम्पर खाली है ?
0x10E	Press Icon				आइकोन दबायें
0x10F	Press first bucket		प्रथम बकेट दबायें
0x110	Press delay				डिले दबायें
0x111	Press down				डाउन दबायें
0x112	Well done				शाबाश
0x113	Thank you				धन्यवाद


0x114	space					स्पेस
0x115	send					भेजे
0x116	delete					डिलिट
0x117	load					लोड
0x118	get defects				त्रुटि सूची
0x119	truck					डम्पर
0x11A	Defect					त्रुटि
0x11B	Split Digging			स्पलिट खनन
0x11C	Set Load Location		लोड स्थान
0x11D	Set Truck Loading		डम्पर नं चुने
0x11E	Change Tramming Mode	ट्रामिन्ग विधा 
0x11F	Shift Information		पाली सूचना
0x120	Exit					बाहर
0x121	None					कोई नहीं
0x122	Enter Number			नम्बर अन्कित करें
0x123	Welcome to				स्वागत है
0x124	Intellimine				ईन्टेलिमाईन में
0x125	Thank you				धन्यवाद

# Additional Delay Words Needed
0x126	Machine Inspection	मशीन जान्च
0x127	Blasting			बलास्टिंग
# Additional Down Words
0x128	Accidental Damage	एक्सिडेन्टल डेमेज
0x129	material			मेटेरियल

# Actions
0x12A	Refill			फिर से भरना
0x12B	Empty			ख़ाली
0x12C	Watering		पानी देना
0x12D	Stop Watering	पानी देना रोको
0x12E	(unused)
0x12F	(unused)
0x130	Arrive			आगमन

# Goic/wtruck/Hindi/w1.cfg
0x131	Weather Conditions	मौसम की स्तिथि 

# Goic/wtruck/Hindi/w1.mb.cfg
0x132	Temp					तापमान
0x133	Wind Speed				हवा की गति
0x134	Wind Direction			हवा की दिशा
0x135	Sky Condition			आसमान स्थिति
0x136	Precipitation Factor	वर्षा कारक

# Goic/wtruck/Hindi/Macro.cfg
0x137	Enter Temperature	तापमान भरे

# Goic/wtruck/Hindi/Precip.cfg
0x138	None		साफ़ मौसम
0x139	Light Rain	पाला
0x13A	Rain		बारिश

# Goic/wtruck/Hindi/Sky.cfg
0x13B	Clear			साफ़ 
0x13C	Partly Cloudy	थोडे बादल
0x13D	Cloudy			मेघाच्छादित

# Goic/wtruck/Hindi/Wind.cfg
0x13E	Calm	शांत
0x13F	Light	प्रकाश
0x140	Gusty	वातमय

# Goic/wtruck/Hindi/Spray.cfg
0x141	Update	अद्यतन
